gene	pval	qval	log2fc	mean	coef_mle	coef_sd
A1BG	0.3686916002671623	0.7168074936638908	6.1739403081791915	0.002688774367017701	0.5919457189831399	0.6585026224482842
A1BG-AS1	0.08714919845458446	0.36031375279391786	18.56808085526465	0.0033609679587721267	1.0269053267199748	0.6003078109140811
A1CF	1.0	1.0	0.0	0.007170064978713871	0.0	0.3818058938455795
A4GALT	0.6961108209594669	0.9283732149717879	3.5407131774381706	0.002688774367017701	0.23453301691278905	0.6004801645511822
AAAS	0.41408347176145055	0.7547085026421021	2.046398531602615	0.02576742101725297	0.16400534252874682	0.2008076090124667
AACS	0.04184126982840897	0.2394967763405928	2.8912611832540716	0.04638135783105534	0.3164174410178438	0.15548039339834765
AADAT	0.8380681982031692	0.989218770759598	1.8185325500241072	0.05355142280976921	0.028789959956985214	0.14087512736197927
AAED1	0.4980088005752867	0.8156149381573066	4.22863402069932	0.010755097468070804	-0.2098948497182484	0.30975024919998395
AAGAB	0.11337057556531027	0.4091834131499997	2.4529019975690374	0.06296213309433117	0.2021990910970081	0.12771356381786966
AAK1	0.2859229281200233	0.6393903733097817	3.5316420957708576	0.021062065874971992	0.24334127997642105	0.22803803219326385
AAMDC	0.9893357541610768	1.0	2.5822573231866386	0.060049294196728664	-0.0017494554132613663	0.13088800878447868
AAMP	0.4699888208464902	0.7966011457491551	1.5293923094234452	0.11740981402643963	0.06806934536367497	0.09421398653726086
AAR2	0.7894632927920984	0.9672511725881641	3.4902495186316367	0.02755993726193144	-0.053356954192574975	0.1998330753618197
AARD	1.0	1.0	0.0	0.005377548734035402	0.0	0.4674116056268181
AARS	0.6514127206214362	0.9053555086320204	2.0894693410387366	0.041900067219359176	0.07183424535040878	0.1589955031222588
AARS2	0.07976783516972885	0.34495693306228675	2.2087988729608417	0.02263051758906565	0.38720154292467146	0.22100106518095453
AARSD1	0.3150707026720125	0.6697631198507115	3.4034390073276923	0.019045485099708714	0.2354032541266404	0.2343162570806725
AASDH	0.9597306772661576	1.0	2.3192090528465927	0.055568003585032485	0.006965009335389643	0.1379440392122507
AASDHPPT	0.0007318684334658433	0.013546761114964877	1.299318859525064	0.1279408469639256	-0.31952246536955764	0.094607341381852
AASS	0.9508172881051008	1.0	2.653296544757713	0.050638583912166704	0.009064175225826084	0.14695371673431468
AATF	0.07302717224743871	0.3274651964287304	1.961003438102991	0.15482859063410262	-0.15596766596061196	0.08700344356905668
AATK	0.16659113719822627	0.4946959700162985	6.399587108883098	0.002464709836432893	-0.9870441717414528	0.7135737973119476
ABAT	0.15340531458599038	0.4763894452505213	1.1609801417426906	0.011875420120994849	0.4247493344901418	0.2975256156392214
ABCA1	0.0012739740109024569	0.020743258924848303	3.600214078594192	0.04996639032041228	0.4944395372407708	0.15346786714791036
ABCA13	0.08229016386032706	0.3508384273407188	5.3066814963889675	0.002912838897602509	1.4238918911748961	0.8194826152302975
